Taxa	HeadingDate	PlantHeight
1190307	101.25	NaN
1190308	88	80.75
1190309	107	NaN
1190310	98	NaN
1190311	97	NaN
1190312	97	NaN
1190313	96	NaN
1190314	84	95
1190315	91	113
1190316	83.5	106
1190317	95.67	100
1190318	88	100.75
1190319	95.25	81.5
1190320	102.33	82
1190321	89.5	116.25
1190322	85.33	104
1190323	110.25	74.5
1190324	110.25	74.25
1190325	110	71
1190326	83	81.25
1190327	85	83
1190328	93.25	95
1190329	117.25	73
1190330	120.25	75.75
1190331	120.33	74.5
1190332	NaN	69.67
1190333	NaN	68
1190334	98.5	94.25
1190335	104	84.75
1190336	113.5	91.75
1190337	107	90.25
1190338	107.75	96
1190339	92.25	98.25
1190340	103.5	93.75
1190341	99.75	97
1190342	112.5	85
1190343	106	101.25
1190344	89.75	109
1190345	106.75	87.25
1190346	104.25	92.75
1190347	107	96.25
1190348	99	100
1190349	99.75	105.75
1190351	87	108.25
1190352	95	137.5
1190353	97	114
1190354	102.25	106.5
1190355	103.25	85.5
1190356	100	114.25
1190357	102.25	104.25
1190358	108.5	94.5
1190359	95	103
1190360	106	96.25
1190361	104	105.75
1190362	104.75	100.75
1190363	102.5	106.25
1190364	103	109
1190365	93.75	110.75
1190366	102.5	114
1190367	95	103.33
1190368	101	106.25
1190369	101	101.5
1190370	95.75	109.25
1190371	111	100.5
1190372	107.25	107.75
1190373	96.75	111.5
1190374	99.5	103
1190375	86	96
1190376	98.5	89.5
1190377	91	107.75
1190378	92.5	104.25
1190379	88.75	96.75
1190380	87	102
1190381	99.25	97.5
1190382	106.5	109
1190383	109	107.75
1190384	108.75	94
1190385	NaN	NaN
1190386	103	110.5
1190387	93.5	100.75
1190388	88	108.25
1190389	90.5	110
1190390	100	111.25
1190391	99.25	121
1190392	87	106.25
1190393	89	112.25
1190394	85	118.75
1190395	95	108.25
1190396	101.5	105.25
1190397	94.75	125.25
1190398	77.5	70
1190399	91.25	114.25
1190400	89.75	109.75
1190401	90.75	97.25
1190402	109.25	96
1190403	93.5	96.67
1190404	91.25	105.25
1190405	87	88.5
1190406	96	116.25
1190407	88	116
1190408	119	83
1190409	94	96.5
1190410	100	105
1190411	96.75	120.75
1190412	95	113
1190413	103	106.25
1190414	94.25	105.25
1190415	81.25	81.75
1190416	98.25	118
1190417	101	113
1190418	108	94.75
1190419	88	101
1190420	94	110
1190421	95	105.75
1190422	88	104.25
1190423	89.75	112
1190424	84.75	85.75
1190425	102.5	112.75
1190426	95	115.75
1190427	86	93.5
1190428	91	101.5
1190429	86	98.25
1190430	82	92.75
1190431	84.5	97.5
1190432	84	103.5
1190433	83	97
1190434	88.75	109.5
1190435	93	97
1190436	107	92.33
1190437	95.5	109
1190438	110.5	78.5
1190439	95	92.75
1190440	89.5	92.75
1190441	86	108.25
1190442	88	117.5
1190443	88.25	102.25
1190444	91.25	103.75
1190445	88	107
1190446	95	78.5
1190447	104	85
1190448	101	86.5
1190449	85	102.25
1190450	104	85
1190451	105	88
1190452	111.25	78.5
1190453	89	93.5
1190454	90	97
1190455	91	96.5
1190456	87.5	97.75
1190457	90.75	97.5
1190458	94.5	92.25
1190459	94.25	100
1190460	88.75	106
1190461	77.5	85.5
1190462	112.75	79.75
1190463	85	89
1190464	89	99.25
1190465	80.75	80.75
1190466	85.25	84
1190467	87.25	89
1190468	77	75.25
1190469	98	99.25
1190470	83	80.75
1190471	85	93.75
1190472	103.5	81.25
1190473	81	93.25
1190474	79	78
1190475	87.25	96
1190476	95	83.75
1190477	88	89.75
1190478	101	97.75
1190479	86	91.5
1190480	NaN	NaN
1190481	118	76.25
1190482	117	74
1190483	89	106
1190484	88	104.25
1190485	94.67	99
1190486	101	108.75
1190487	109	100.25
1190488	106.5	97.5
1190489	109	97.25
1190490	102.5	117.5
1190491	102.5	117
1190492	96	108.25
1190493	91	122.25
1190494	93.5	105.5
1190495	88	94.25
1190496	88	99.5
1190497	87.75	108.5
1190498	88	109.75
1190499	92	100
1190500	108	81
1190501	100.5	101.5
1190502	100.25	102.25
1190503	80	81.33
1190504	94	104.25
1190505	90.5	113
1190506	89	106.75
1190507	94	106.5
1190508	98.33	101
1190509	87	112.5
1190510	87.75	102.5
1190511	93.5	122.25
1190512	89.25	106.75
1190513	96	111.25
1190514	85.67	106.33
1190515	88	93.75
1190516	81.5	105.75
1190517	86.5	96.25
1190518	95	76
1190519	89.75	118.5
1190520	85.25	96
1190521	114.5	77
1190522	92.75	89
1190523	93.75	105
1190524	89.25	89.75
1190525	93.5	126.5
1190526	94.33	116
1190527	86	102.25
1190528	84.5	111.25
1190529	95.25	107
1190530	99	105.5
1190531	94	112.5
1190532	84.5	104
1190533	92.5	104
1190534	87	102.67
1190536	87	99.33
1190537	88.75	109
1190538	88.75	120.5
1190539	88	105.25
1190540	97.25	119.5
1190541	94.75	106.25
1190542	99	109.75
1190543	99.5	98
1190544	99	116.5
1190545	96.75	121.5
1190546	89	119.5
1190547	89	103.25
1190548	104	104.25
1190549	98	111.75
1190550	106.75	104
1190551	95.5	118.75
1190552	89	96
1190553	92	111.75
1190554	89.75	95.25
1190555	90.25	87.5
1190556	91.75	98
1190557	96.25	104
1190558	95.5	102.75
1190559	87	101.67
1190560	88	109.5
1190561	85.25	96
1190562	88.25	111.75
1190563	85	112.25
1190564	87	110.75
1190565	87.25	113.5
1190566	86	103.5
1190567	87	120
1190568	87.25	105.25
1190569	87	116.25
1190570	88	108.5
1190571	87	106
1190572	85.25	107
1190573	85	91.25
1190574	89.25	114
1190575	89.5	112
1190576	88	105.25
1190577	90	113
1190578	101	116
1190579	88.25	117
1190580	87	110.25
1190581	89	112.25
1190582	96.5	112.25
1190583	87	114.75
1190584	89.75	115.75
1190585	90	110.75
1190586	96.75	89
1190587	85	103
1190588	86.25	112.25
1190589	88	116.25
1190590	87.5	81.5
1190591	92	117
1190592	87	121.25
1190593	85	110.5
1190594	86.5	95.25
1190595	87	112
1190596	89	96.5
1190597	86.75	117.75
1190598	86.75	116.5
1190599	86.75	119.25
1190600	105	112.75
1190601	88	111
1190602	106	116.25
1190603	95	121
1190604	92.5	100.67
1190605	97.5	102.75
1190606	100.5	108.25
1190607	90.5	121
1190608	101	103.25
1190609	98.25	110.75
1190610	107	98.75
1190611	106	107.5
1190612	96.5	120
1190613	103.75	103.25
1190614	105	113.67
1190615	107	113.33
1190616	120.75	107
1190617	102.75	115.75
1190618	103.75	113.5
1190619	101	108.25
1190620	104	105.5
1190621	108.75	106.25
1190622	110	93.25
1190623	99.5	103.75
1190624	110.75	75
1190625	82.25	99
1190626	83	106.75
1190627	89	104.25
1190628	99.75	103.5
1190629	92.75	100.5
1190630	89	111
1190631	96	120.67
1190632	94.5	122.25
1190633	99.33	106.25
1190634	104	110.5
1190635	91.25	112.25
1190636	103.5	101
1190637	106.25	105.75
1190638	86	112.25
1190639	92.25	125.25
1190640	87	90.5
1190641	86.5	121.25
1190642	90.75	95.25
1190643	97	97
1190644	97.5	91.75
1190645	93.5	93
1190646	81.25	89.5
1190647	95.75	91.5
1190648	87	122.5
1190649	91.25	94.5
1190650	94	104.5
1190651	113	81.25
1190652	105.25	100.75
1190653	88.75	116.25
1190654	101.67	105
1190655	91	104.75
1190656	92	105.5
1190657	99.5	103.25
1190658	100	103.75
1190659	96.25	98.25
1190660	99.5	101
1190661	98.75	99.25
1190662	102.5	98.75
1190663	119	78.25
1190664	122	NaN
1190665	119.75	NaN
1190666	122	NaN
1190667	91	101
1190668	99.25	105
1190669	NaN	NaN
1190670	94.33	121
1190671	98.75	110.5
1190672	NaN	89.25
1190673	88	112.5
1190674	89	111
1190675	96	117.25
1190676	101.25	93.5
1190677	108.25	93
1190678	88.5	104
1190679	92.75	108.75
1190680	97	112
1190681	94	107
1190682	88	113
1190683	105	96.25
1190684	94.25	97
1190685	88.75	98.75
1190686	85	101.25
1190687	86	97.75
1190688	101	96.5
1190689	86	87.5
1190690	87	87.75
1190691	86	91.5
1190692	84.5	93.25
1190693	85.75	100.5
1190694	91	98
1190695	88	90.25
1190696	81.25	78
1190697	86.5	77
1190698	88.75	107.5
1190699	91	107.5
1190700	87	100.75
1190701	81.67	102.67
1190702	92.25	91.5
1190703	95.25	97
1190704	95	94.75
1190705	81.25	90.5
1190706	85.5	87.75
1190707	84	95
1190708	82.5	66.5
1190710	106	79.75
1190711	87	88.75
1190712	97.75	77.75
1190713	83.5	76.75
1190714	83.5	84.5
1190715	93.5	92
1190716	86	89.75
1190717	86	88.75
1190718	88.75	110.25
1190719	87	92.5
1190720	92.25	110.5
1190721	92.75	98.75
1190722	89	82
1190723	88	97.75
1190724	97.5	67.75
1190725	101.75	96.25
1190726	84.25	92
1190727	95.25	100.75
1190728	92.5	71.5
1190729	79	58.25
1190730	121.5	49.5
1190731	86.25	85.5
1190732	83.25	69.5
1190733	94.25	110
1190734	97.5	100.25
1190735	88	80.75
1190736	105.25	44.5
1190737	90.75	90.75
1190738	90.5	97
1190739	91	105.5
1190740	90	94
1190741	87	96.5
1190742	86	98
1190743	94	111.25
1190744	107.33	73.5
1190745	87.25	89
1190746	87	90.5
1190747	102.25	97
1190748	107.5	96.75
1190749	90.25	98.25
1190750	104.75	80.5
1190751	114.75	65.25
1190752	85	95.25
1190753	111	72
1190754	121	61.67
1190755	94	71.75
1190756	110.75	83.75
1190757	116	79.25
1190758	101.67	86.33
1190759	103.25	83.25
1190760	94	110.5
1190761	94	104.25
1190762	91	85
1190763	101.25	85.5
1190764	106.75	99.75
1190765	102.75	100.33
1190766	116	84.25
1190767	96	103
1190768	89	100
1190769	87.75	100.5
1190770	84	93
1190771	91	94.5
1190772	98.5	81.75
1190773	95.75	95
1190774	90.25	107.75
1190775	103	101.75
1190776	89	83.25
1190777	88	90.5
1190778	89.75	107
1190779	107	93
1190780	113	86.5
1190781	124	99
1190782	116.33	87.33
1190783	106	106.75
1190784	90.25	98
1190786	95	131
1190787	95	123.5
1190788	93.75	139.75
1190789	95.5	115.25
1190790	96	124
1190792	94	121.67
1190793	95.25	120
1190794	92.75	101.75
1190795	128.25	103.75
1190796	111.75	82.75
1190797	97.75	138
1190798	96.25	135.5
1190799	103.75	119.25
1190800	115.5	83
