acc_no,origin,COUNTRY.of.origin
1190273,ESP,Spain
1190274,ESP,Spain
1190275,ESP,Spain
1190276,ESP,Spain
1190277,ESP,Spain
1190278,ESP,Spain
1190279,ESP,Spain
1190280,ESP,Spain
1190281,GRC,Greece
1190282,GRC,Greece
1190283,GRC,Greece
1190284,GRC,Greece
1190285,GRC,Greece
1190286,GRC,Greece
1190287,CRT,Crete
1190288,CRT,Crete
1190289,CRT,Crete
1190290,CRT,Crete
1190291,CYP,Cyprus
1190292,CYP,Cyprus
1190293,TUR,Turkey
1190294,TUR,Turkey
1190295,TUR,Turkey
1190296,TUR,Turkey
1190297,TUR,Turkey
1190298,TUR,Turkey
1190299,TUR,Turkey
1190300,TUR,Turkey
1190301,TUR,Turkey
1190302,SYR,Syria
1190303,SYR,Syria
1190304,SYR,Syria
1190305,EGY,Egypt
1190306,IRQ,Iraq
1190307,IRN,Iran
1190308,IRN,Iran
1190309,IRN,Iran
1190310,IRN,Iran
1190311,IRN,Iran
1190312,IRN,Iran
1190313,BUR,Burma
1190314,CHN,China
1190315,CHN,China
1190316,CHN,China
1190317,CHN,China
1190318,CHN,China
1190319,CHN,China
1190320,CHN,China
1190321,CHN,China
1190322,CHN,China
1190323,CHN,China
1190324,CHN,China
1190325,GBR,United Kingdom
1190326,AUS,Australia
1190327,PAL,Palestine
1190328,EGY,Egypt
1190329,,
1190330,EGY,Egypt
1190331,BRA,Brazil
1190332,,
1190333,,
1190334,,
1190335,,
1190336,HUN,Hungary
1190337,HUN,Hungary
1190338,HUN,Hungary
1190339,PRT,Portugal
1190340,ESP,Spain
1190341,ESP,Spain
1190342,ESP,Spain
1190343,ESP,Spain
1190344,ESP,Spain
1190345,BGR,Bulgaria
1190346,BGR,Bulgaria
1190347,BGR,Bulgaria
1190348,BGR,Bulgaria
1190349,BGR,Bulgaria
1190350,BGR,Bulgaria
1190351,YUG,Yugoslavia
1190352,YUG,Yugoslavia
1190353,YUG,Yugoslavia
1190354,YUG,Yugoslavia
1190355,YUG,Yugoslavia
1190356,YUG,Yugoslavia
1190357,YUG,Yugoslavia
1190358,YUG,Yugoslavia
1190359,YUG,Yugoslavia
1190360,YUG,Yugoslavia
1190361,YUG,Yugoslavia
1190362,YUG,Yugoslavia
1190363,YUG,Yugoslavia
1190364,YUG,Yugoslavia
1190365,YUG,Yugoslavia
1190366,YUG,Yugoslavia
1190367,BGR,Bulgaria
1190368,YUG,Yugoslavia
1190369,YUG,Yugoslavia
1190370,YUG,Yugoslavia
1190371,YUG,Yugoslavia
1190372,YUG,Yugoslavia
1190373,IRN,Iran
1190374,IRN,Iran
1190375,IRN,Iran
1190376,IRN,Iran
1190377,IRN,Iran
1190378,IRN,Iran
1190379,IRN,Iran
1190380,IRN,Iran
1190381,IND,India
1190382,IND,India
1190383,GRC,Greece
1190384,GRC,Greece
1190385,ESP,Spain
1190386,ESP,Spain
1190387,ESP,Spain
1190388,ESP,Spain
1190389,PRT,Portugal
1190390,PRT,Portugal
1190391,PRT,Portugal
1190392,PRT,Portugal
1190393,PRT,Portugal
1190394,PRT,Portugal
1190395,PRT,Portugal
1190396,PRT,Portugal
1190397,PRT,Portugal
1190398,PAL,Palestine
1190399,CHN,China
1190400,CHN,China
1190401,PRT,Portugal
1190402,GRC,Greece
1190403,ESP,Spain
1190404,IRN,Iran
1190405,IRN,Iran
1190406,IND,India
1190407,IND,India
1190408,IND,India
1190409,IND,India
1190410,IND,India
1190411,IND,India
1190412,IND,India
1190413,IND,India
1190414,IND,India
1190415,IND,India
1190416,IND,India
1190417,IND,India
1190418,IND,India
1190419,IND,India
1190420,IND,India
1190421,IND,India
1190422,IND,India
1190423,IND,India
