"PC","Variance_explained","Cumulative_variance"
1,7.27586436005498,7.27586436005498
2,4.73449768096292,12.0103620410179
3,2.61448986047168,14.6248519014896
4,1.88372810992295,16.5085800114125
5,1.5204024592766,18.0289824706891
6,1.40828823362404,19.4372707043132
7,1.21045401727191,20.6477247215851
8,1.17708916917611,21.8248138907612
9,1.14620108327375,22.971014974035
10,0.988742797725078,23.95975777176
11,0.946892416892258,24.9066501886523
12,0.851216947973927,25.7578671366262
13,0.802350574001082,26.5602177106273
14,0.776748966941774,27.3369666775691
15,0.736560715368797,28.0735273929379
16,0.696582143727406,28.7701095366653
17,0.69304399650407,29.4631535331694
18,0.66252837690608,30.1256819100754
19,0.639209847523506,30.7648917575989
20,0.62542317564351,31.3903149332424
21,0.586944984157799,31.9772599174002
22,0.57139764983218,32.5486575672324
23,0.55707857555021,33.1057361427826
24,0.542999344625646,33.6487354874083
25,0.536972342629196,34.1857078300375
26,0.530147010773506,34.715854840811
27,0.513764092490221,35.2296189333012
28,0.493017709850768,35.722636643152
29,0.482573450483039,36.205210093635
30,0.467723342790349,36.6729334364254
31,0.465439320252603,37.138372756678
32,0.45492482161711,37.5932975782951
33,0.436739590540099,38.0300371688352
34,0.422400071727465,38.4524372405626
35,0.419974916645006,38.8724121572076
36,0.413598852455776,39.2860110096634
37,0.412416940340097,39.6984279500035
38,0.404592986746591,40.1030209367501
39,0.401575902219496,40.5045968389696
40,0.3932304912962,40.8978273302658
41,0.387723641614864,41.2855509718807
42,0.381779106185906,41.6673300780666
43,0.374798724483802,42.0421288025504
44,0.364146804202385,42.4062756067528
45,0.362323758245436,42.7685993649982
46,0.357143108739294,43.1257424737375
47,0.34952541037975,43.4752678841172
48,0.348512508007747,43.823780392125
49,0.344701992213314,44.1684823843383
50,0.342646436633316,44.5111288209716
51,0.332957747657155,44.8440865686288
52,0.33122288720428,45.175309455833
53,0.328404847575765,45.5037143034088
54,0.324469958988438,45.8281842623973
55,0.321652642393352,46.1498369047906
56,0.319559927749134,46.4693968325397
57,0.314764702130644,46.7841615346704
58,0.310765235212384,47.0949267698828
59,0.310382420181479,47.4053091900642
60,0.304617426406217,47.7099266164705
61,0.299981103542137,48.0099077200126
62,0.298206500685857,48.3081142206985
63,0.296369442343345,48.6044836630418
64,0.290258142758725,48.8947418058005
65,0.287530203924976,49.1822720097255
66,0.28656147106419,49.4688334807897
67,0.282834311375822,49.7516677921655
68,0.279629405471886,50.0312971976374
69,0.275739777390451,50.3070369750278
70,0.273884273398497,50.5809212484263
71,0.271173863999097,50.8520951124254
72,0.267585103250891,51.1196802156763
73,0.265015029330736,51.3846952450071
74,0.261961234324202,51.6466564793313
75,0.258766785990647,51.9054232653219
76,0.257717811400268,52.1631410767222
77,0.255421078312142,52.4185621550343
78,0.253943684526487,52.6725058395608
79,0.251153103826522,52.9236589433873
80,0.250208089169689,53.173867032557
81,0.247489695927437,53.4213567284845
82,0.247063591199304,53.6684203196838
83,0.241804311381092,53.9102246310649
84,0.238284932667818,54.1485095637327
85,0.237085032066536,54.3855945957992
86,0.235752697949789,54.621347293749
87,0.233712598868633,54.8550598926176
88,0.23236009969525,55.0874199923129
89,0.230511358315896,55.3179313506288
90,0.22973880021173,55.5476701508405
91,0.22614632449464,55.7738164753352
92,0.224895607270842,55.998712082606
93,0.224081179998621,56.2227932626046
94,0.222040538314388,56.444833800919
95,0.22083456521213,56.6656683661311
96,0.218809673450835,56.884478039582
97,0.217186624267691,57.1016646638497
98,0.214758828716267,57.3164234925659
99,0.212405541909127,57.5288290344751
100,0.212045517751226,57.7408745522263
101,0.209846321063906,57.9507208732902
