"taxa","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","COUNTRY.of.origin","Region"
"1190012",-17.8257740201629,-30.0042370500028,-9.81771077592522,-1.96184438202836,20.3447636350079,7.87504733451457,10.3301758761224,-15.2473584532135,-10.906319442693,10.0266081199913,"India","South/Central Asia"
"1190013",-31.6946461095331,-3.46957264569106,17.1550551519451,19.9992402125686,-41.1380321458547,-14.6339204277455,-27.9477881623012,-23.3677159701503,28.8269735725176,20.5396001527892,"Bulgaria","Eastern Europe"
"1190014",-6.81190291056519,-46.5922394142485,-12.0458311075284,-10.9827108624446,6.58020628964147,-1.26558223330619,-0.811330072797293,5.64276892439998,10.6557045632332,-3.57557447660414,"Yugoslavia","Eastern Europe"
"1190015",-11.1305034169267,-48.3713406718266,-12.6042050524382,-3.83408525554845,3.94876398635423,0.42545437008825,-0.996006787644535,-3.3138675139531,5.82725819362736,1.47626899297728,"Yugoslavia","Eastern Europe"
"1190016",-19.8808093493053,0.985106186669874,11.0366822382135,-12.2881143460446,-7.05925454324108,0.538262080869222,8.0096051092212,11.264562824125,0.165210190630449,-2.94180948613812,"Spain","Western/Southern Europe"
"1190017",-28.465926820991,9.05247752746972,3.83476795897716,-4.67057231549795,-7.50774621290555,-3.6068529114135,4.65093225672513,5.9350191229345,7.95956032557495,-4.17211102520133,"Spain","Western/Southern Europe"
"1190018",0.812642391568419,-45.6815398487079,-22.2209021795255,2.23146700057617,13.6104672096437,17.821857084681,-8.07088917306178,-24.3211728833089,-37.1786069671993,17.3839072761598,"India","South/Central Asia"
"1190019",0.668997398488824,-45.3370729928349,-22.5942752134027,2.47075658631861,13.4088556293221,17.5403218463522,-8.40519913981053,-24.5664613082504,-36.8644792731318,17.2823932378161,"India","South/Central Asia"
"1190020",0.860512263010666,-45.3669838053862,-22.1453136150258,2.37466056375569,13.269685015647,17.595094893435,-8.12967744542207,-24.3929028833008,-37.0134974571445,17.1995690238821,"India","South/Central Asia"
"1190021",0.863763285794745,-46.1811414909003,-22.776370730458,2.09563477874518,13.5162514438015,17.3319151319009,-7.98128226962579,-24.6682173605252,-37.2522747908828,17.5231496621138,"India","South/Central Asia"
"1190022",-25.6703716428526,24.650621191885,-10.453244201211,-2.94875233633502,-5.80920949904627,-0.663299810006602,6.7543857947325,-2.57410466795338,-4.72902987876087,15.9624317864404,"Australia","Oceania"
"1190023",-24.0785509536632,10.513756010015,-16.535584885883,0.592385604125089,11.2178613912989,6.33259638910945,8.10436959153867,-23.3313127062733,-5.55191380786775,13.3555514362158,"Australia","Oceania"
"1190024",-6.75640391440007,1.16961352056607,-27.8277475767887,4.75708018545185,8.46011168082318,-15.7722298326207,9.36410504763044,-12.7543667466859,-16.9585408402063,2.26318796311066,"Australia","Oceania"
"1190025",-21.1382523271345,16.1786563928052,-32.0196051059314,-1.85952224481076,-2.53423238088297,-0.384808114268662,17.2689600095044,-6.41952316210701,3.57466755380578,0.466821504501308,"Australia","Oceania"
"1190026",-15.9357170596835,-28.6217468052013,-10.1050732975085,-2.49444126169197,19.9152215560562,7.87526679261033,7.060187565372,-14.2437336641,-10.9312502946755,8.33126258782911,"Australia","Oceania"
"1190027",-11.5225631172582,-27.5590857059008,-0.341324686612243,3.91968908278865,17.4845570577196,4.0109763926166,2.16554437490526,-14.1313813973398,-8.11077434748947,3.20713652483602,"Australia","Oceania"
"1190028",13.8418923401698,-25.6245769428021,-11.9698520612337,1.93067211595749,31.070873735811,-22.3006772435022,-10.8766657769647,-29.1347198889808,-33.9814957687458,14.5696889665904,"Australia","Oceania"
"1190029",-20.8028959852748,23.4244159331945,-34.4855361937859,3.48260396329908,8.13825403136173,-2.16830743009201,-0.310483776361369,-9.84047610152492,-11.3923325694875,7.68172245332708,"Australia","Oceania"
"1190030",-13.9121388883619,15.7579987755134,-33.2340958610339,5.9418389690054,-1.17427920284271,0.202779303117199,-0.83681277394309,-1.05195066330856,-4.41633398241306,-6.82745334176053,"Australia","Oceania"
"1190031",-12.267482134889,-20.5638526568664,-15.6007878742262,-3.92720578083523,4.86816426646543,-1.44412155341159,11.7626866428698,-1.28176875204974,0.713718102343527,-1.68996760710912,"Australia","Oceania"
"1190032",-15.7235862451799,-8.33879900212241,-19.8688990955704,1.04783688375077,5.01057185300477,1.87853964470118,6.09832562877477,-4.62402948232241,1.0585214332684,-4.40731346729973,"India","South/Central Asia"
"1190033",-29.2760888437242,27.5308721486596,-14.3107431125361,3.56764437891225,0.194219177774151,-12.9756943069513,10.5703336068124,-12.8466623185621,3.4942108047271,9.54210711651018,"India","South/Central Asia"
"1190034",47.312334232405,-3.89614701965632,-3.68182132161671,6.10397537317339,35.2751755253374,-25.8531336971481,-17.8098547056321,-16.601187542062,-22.8624477288109,9.34603127702513,"India","South/Central Asia"
"1190035",-13.7422645896362,-40.6387256033052,-7.30705868270877,16.175156229519,-0.609033308957602,2.63037187847243,10.5384842267208,6.72487972955193,0.621558927716833,8.3957217075163,"Poland","Eastern Europe"
"1190036",-14.4231658634404,-39.4974428559265,-6.2553947646149,19.5012019334141,-2.34993260937033,3.53162932761935,7.00570634838322,6.67554488111361,-1.86397391855994,3.01538819740755,"Poland","Eastern Europe"
"1190037",-15.1945303309784,-43.105005751956,-5.40273875633328,20.6002554144891,-4.36625713258619,-1.76576528677413,5.47553721034495,5.59036105944517,-0.423012178992255,1.03123005636978,"Poland","Eastern Europe"
"1190038",-15.2309651284048,-43.6641160690427,-5.70792059419704,20.839019670089,-4.5021119445849,-1.93682222705058,5.45884810292815,5.91762774605538,-0.121033142959199,0.813150644880196,"Poland","Eastern Europe"
